startTime,settlementPeriod,fuelType,generation
2026-05-14T07:30:00Z,18,INTFR,1508
2026-05-14T07:30:00Z,18,INTGRNL,-476
2026-05-14T07:30:00Z,18,INTIFA2,992
2026-05-14T07:30:00Z,18,INTIRL,0
2026-05-14T07:30:00Z,18,INTNED,0
2026-05-14T07:30:00Z,18,INTNEM,996
2026-05-14T07:30:00Z,18,INTNSL,1398
2026-05-14T07:30:00Z,18,INTVKL,1426
2026-05-14T07:30:00Z,18,NPSHYD,230
2026-05-14T07:30:00Z,18,NUCLEAR,3401
2026-05-14T07:30:00Z,18,OCGT,5
2026-05-14T07:30:00Z,18,OIL,0
2026-05-14T07:30:00Z,18,OTHER,1329
2026-05-14T07:30:00Z,18,PS,-272
2026-05-14T07:30:00Z,18,WIND,7289
2026-05-14T08:00:00Z,19,BIOMASS,2481
2026-05-14T08:00:00Z,19,CCGT,5858
2026-05-14T08:00:00Z,19,COAL,0
2026-05-14T08:00:00Z,19,INTELEC,996
2026-05-14T08:00:00Z,19,INTEW,0
2026-05-14T08:00:00Z,19,INTFR,1508
2026-05-14T08:00:00Z,19,INTGRNL,-514
2026-05-14T08:00:00Z,19,INTIFA2,992
2026-05-14T08:00:00Z,19,INTIRL,-26
2026-05-14T08:00:00Z,19,INTNED,0
2026-05-14T08:00:00Z,19,INTNEM,1016
2026-05-14T08:00:00Z,19,INTNSL,1398
2026-05-14T08:00:00Z,19,INTVKL,1426
2026-05-14T08:00:00Z,19,NPSHYD,220
2026-05-14T08:00:00Z,19,NUCLEAR,3401
2026-05-14T08:00:00Z,19,OCGT,4
2026-05-14T08:00:00Z,19,OIL,0
2026-05-14T08:00:00Z,19,OTHER,1084
2026-05-14T08:00:00Z,19,PS,-274
2026-05-14T08:00:00Z,19,WIND,7257
2026-05-14T08:30:00Z,20,BIOMASS,2477
2026-05-14T08:30:00Z,20,CCGT,5712
2026-05-14T08:30:00Z,20,COAL,0
2026-05-14T08:30:00Z,20,INTELEC,996
2026-05-14T08:30:00Z,20,INTEW,0
2026-05-14T08:30:00Z,20,INTFR,1508
2026-05-14T08:30:00Z,20,INTGRNL,-478
2026-05-14T08:30:00Z,20,INTIFA2,992
2026-05-14T08:30:00Z,20,INTIRL,-22
2026-05-14T08:30:00Z,20,INTNED,0
2026-05-14T08:30:00Z,20,INTNEM,1016
2026-05-14T08:30:00Z,20,INTNSL,1398
2026-05-14T08:30:00Z,20,INTVKL,1426
2026-05-14T08:30:00Z,20,NPSHYD,218
2026-05-14T08:30:00Z,20,NUCLEAR,3399
2026-05-14T08:30:00Z,20,OCGT,3
2026-05-14T08:30:00Z,20,OIL,0
2026-05-14T08:30:00Z,20,OTHER,491
2026-05-14T08:30:00Z,20,PS,-320
2026-05-14T08:30:00Z,20,WIND,7695
2026-05-14T09:00:00Z,21,BIOMASS,2430
2026-05-14T09:00:00Z,21,CCGT,4881
2026-05-14T09:00:00Z,21,COAL,0
2026-05-14T09:00:00Z,21,INTELEC,996
2026-05-14T09:00:00Z,21,INTEW,0
2026-05-14T09:00:00Z,21,INTFR,1508
2026-05-14T09:00:00Z,21,INTGRNL,-334
2026-05-14T09:00:00Z,21,INTIFA2,992
2026-05-14T09:00:00Z,21,INTIRL,-54
2026-05-14T09:00:00Z,21,INTNED,0
2026-05-14T09:00:00Z,21,INTNEM,1016
2026-05-14T09:00:00Z,21,INTNSL,1398
2026-05-14T09:00:00Z,21,INTVKL,1426
2026-05-14T09:00:00Z,21,NPSHYD,187
2026-05-14T09:00:00Z,21,NUCLEAR,3400
2026-05-14T09:00:00Z,21,OCGT,3
2026-05-14T09:00:00Z,21,OIL,0
2026-05-14T09:00:00Z,21,OTHER,502
2026-05-14T09:00:00Z,21,PS,-296
2026-05-14T09:00:00Z,21,WIND,8004
2026-05-14T09:30:00Z,22,BIOMASS,2401
2026-05-14T09:30:00Z,22,CCGT,4405
2026-05-14T09:30:00Z,22,COAL,0
2026-05-14T09:30:00Z,22,INTELEC,996
2026-05-14T09:30:00Z,22,INTEW,0
2026-05-14T09:30:00Z,22,INTFR,1508
2026-05-14T09:30:00Z,22,INTGRNL,-182
2026-05-14T09:30:00Z,22,INTIFA2,992
2026-05-14T09:30:00Z,22,INTIRL,0
2026-05-14T09:30:00Z,22,INTNED,0
2026-05-14T09:30:00Z,22,INTNEM,1016
2026-05-14T09:30:00Z,22,INTNSL,1398
2026-05-14T09:30:00Z,22,INTVKL,1426
2026-05-14T09:30:00Z,22,NPSHYD,174
2026-05-14T09:30:00Z,22,NUCLEAR,3401
2026-05-14T09:30:00Z,22,OCGT,3
